"","Symbol","log2FC.HFD","log2FC.XN"
"198","Fam83a",5.068724571,2.48127333
"199","Gprc5b",4.808874034,4.483372488
"201","Gstm3",4.279616057,2.614148111
"202","Sprr1a",4.071864916,2.719407088
"204","Tuba8",3.481680299,2.528039082
"207","Cdkn1a",3.051995967,1.618072948
"208","Shc2",3.038384875,1.930974075
"209","Ubd",2.96010249,2.27743756
"210","Mmp12",2.893974424,4.694432624
"211","5330417C22Rik",2.870151024,2.113824936
"212","Aqp7",2.794869916,2.547738352
"214","Elovl7",2.69815278,2.104305208
"215","Lgals1",2.658821009,2.024218586
"217","Rims4",2.560170942,2.095756111
"218","Cd63",2.554384849,2.515176133
"219","Cib3",2.551239498,0.958853792
"221","Cyp3a11",2.445549071,1.657180726
"222","Tnfrsf10b",2.441688506,2.843091537
"223","Orm2",2.437235466,2.42972878
"225","Anxa2",2.410291308,1.535175093
"226","Uap1l1",2.408454933,2.800108281
"228","Mtmr11",2.360934658,1.629142234
"229","Bmp8b",2.320885829,1.424590514
"230","Usp43",2.319023119,1.105791951
"231","Lcn2",2.264871033,3.722889523
"234","AI314278",2.248033641,1.74300368
"235","Mogat2",2.233897018,3.283856954
"236","Adgrg2",2.225200044,1.452195658
"237","Mogat1",2.216740667,1.438920567
"238","Gm13657",2.207697045,2.047157161
"239","Tnc",2.184305815,1.200707277
"240","Nrg1",2.174289427,1.630619724
"241","Cd207",2.17343868,1.321733821
"242","Gria3",2.17021258,2.093632186
"243","Prss8",2.162699671,1.624208706
"244","Col1a1",2.091314864,2.541877205
"246","Rab34",2.082651397,1.609854077
"247","Itgax",2.073532949,1.243479066
"248","Gipc2",2.066194357,3.525971094
"249","Mrgpre",2.058551831,1.774481281
"250","Gm8834",2.02166683,1.445386025
"251","H2-M2",1.991489539,1.786381293
"252","Abcc4",1.991455658,1.467492575
"253","Gstm2-ps1",1.976994301,1.612588319
"255","Epdr1",1.97006931,1.97262765
"256","Pls1",1.94643825,1.874372413
"259","S100a11",1.892792687,1.666764756
"260","Rcan2",1.884121354,1.991062997
"264","1810064F22Rik",1.879010745,2.893049448
"265","Eda2r",1.873157398,1.374856019
"269","Raet1e",1.850632061,2.41193775
"270","Slc6a8",1.843434324,1.536629491
"272","Corin",1.816357843,2.849593923
"273","Ccdc120",1.816285609,1.426262337
"274","Clip2",1.807106448,1.70396207
"275","Acta2",1.800277996,1.602057014
"279","Trpm4",1.78987759,1.510493792
"280","Ifi27l2b",1.784674752,1.580390252
"282","Pkmyt1",1.767642283,1.093568304
"285","Mirt2",1.752638679,1.381770433
"287","Sh3pxd2b",1.740038318,1.667136311
"288","Ccl2",1.738024698,1.498621993
