,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Acvr1,289.9761195,1.917560246,0.206573491,9.271480625,1.84E-20,3.13E-16
Gypc,204.8656097,1.287306373,0.280165345,4.775025252,1.80E-06,0.004284353
Timd4,113.6358214,1.22059154,0.28132707,4.51608984,6.30E-06,0.009753444
Vsig4,395.746421,1.138658137,0.265285488,4.336688354,1.45E-05,0.017597156
Cyp7a1,2344.938043,1.037606983,0.244084953,4.270108863,1.95E-05,0.021672411
Letm2,5.484829073,0.917412064,0.250102874,4.549342345,5.38E-06,0.009165572
Car9,8.318592389,0.80520799,0.240800176,4.72831341,2.26E-06,0.004284353
Fam71e1,4.549768244,0.730119424,0.23501541,4.090157481,4.31E-05,0.038642954
Smim22,9.48852413,0.521114741,0.210530694,4.25025701,2.14E-05,0.021672411
Gm20503,27.8335015,0.314012574,0.174790725,4.354349375,1.33E-05,0.017485668
Gm12992,29.60522839,0.087742509,0.100171824,6.855775998,7.09E-12,6.04E-08
Gm45140,324.2568589,-0.331143256,0.163785806,-4.73834799,2.15E-06,0.004284353
Insig2,9528.601622,-0.678736932,0.123765225,-5.483669684,4.17E-08,0.000141908
Slc4a1,5.466406182,-0.747626992,0.224155201,-4.247346859,2.16E-05,0.021672411
Slc17a4,1080.013884,-1.029392245,0.232311825,-4.42353904,9.71E-06,0.013781312
Rac1,900.4037021,-1.112319084,0.190116375,-5.845909698,5.04E-09,2.86E-05
Rnf185,254.2490412,-1.129176916,0.277285861,-4.179406788,2.92E-05,0.027655283
0610040J01Rik,123.7404614,-1.265780334,0.245825538,-5.129780925,2.90E-07,0.000823439
Arhgdib,144.0870424,-1.508573931,0.280661306,-5.552398097,2.82E-08,0.000119981
