,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSMUSG00000099146,560.4476633,-1.085860734,0.255836538,-4.242232852,2.21E-05,0.001972276,0610031O16Rik
ENSMUSG00000071456,16.13949863,-1.314228441,0.413554509,-3.1844939,0.001450074,0.049718942,1110002L01Rik
ENSMUSG00000097321,58.14144002,-1.924552388,0.353277456,-5.412655735,6.21E-08,1.22E-05,1700028E10Rik
ENSMUSG00000090925,26.87508128,2.695066867,0.387195882,6.474356591,9.52E-11,3.46E-08,1810064F22Rik
ENSMUSG00000052419,277.2395595,1.255750082,0.355347373,3.550318706,0.000384765,0.018295707,2610001J05Rik
ENSMUSG00000064202,43.57188976,-1.429889997,0.294771867,-4.832305543,1.35E-06,0.000182133,4430402I18Rik
ENSMUSG00000040412,136.8307148,1.9497681,0.411475647,5.14852117,2.63E-07,4.48E-05,5330417C22Rik
ENSMUSG00000070690,522.034617,-0.869468245,0.210960298,-4.120644482,3.78E-05,0.002941552,5830473C10Rik
ENSMUSG00000097691,32.81836711,-1.96368144,0.350078336,-5.543713158,2.96E-08,6.26E-06,9030616G12Rik
ENSMUSG00000057228,1766.387451,-0.748180049,0.223589324,-3.345609918,0.000821018,0.032226666,Aadat
ENSMUSG00000029695,4310.338812,-0.646816695,0.191180851,-3.382999002,0.000716989,0.029448502,Aass
ENSMUSG00000041828,950.8809289,-1.219793894,0.323683824,-3.762790852,0.000168028,0.009995758,Abca8a
ENSMUSG00000027048,4787.383553,-1.201735217,0.303442533,-3.956063216,7.62E-05,0.005141349,Abcb11
ENSMUSG00000020865,4376.729405,0.651761043,0.200390889,3.25275442,0.001142922,0.04123058,Abcc3
ENSMUSG00000032849,252.9217059,1.425787083,0.341029589,4.194872655,2.73E-05,0.002249281,Abcc4
ENSMUSG00000024254,2808.865188,0.915611836,0.222022296,4.124810195,3.71E-05,0.002914438,Abcg8
ENSMUSG00000042647,793.5400301,1.572713246,0.298085125,5.285391183,1.25E-07,2.22E-05,Acad12
ENSMUSG00000035783,65.67679129,1.533644924,0.36602419,4.206090398,2.60E-05,0.002178544,Acta2
ENSMUSG00000061393,11.97489077,-1.391955582,0.391803872,-3.504556863,0.000457368,0.020906138,Acvr2b
ENSMUSG00000036545,50.50582158,1.164654926,0.337916319,3.44374702,0.000573712,0.024860864,Adamts2
ENSMUSG00000046169,19.00554798,-1.358205571,0.410787317,-3.289939083,0.001002091,0.037269359,Adamts6
ENSMUSG00000031659,55.20011828,1.130846427,0.354035397,3.195631352,0.001395253,0.048339191,Adcy7
ENSMUSG00000041293,43.05215004,-1.633806771,0.41268627,-3.986044751,6.72E-05,0.004621335,Adgrf1
ENSMUSG00000031298,30.8742163,1.304324497,0.413142362,3.377837765,0.000730582,0.029639223,Adgrg2
ENSMUSG00000037797,1601.674021,-1.141250778,0.297169501,-3.836739506,0.000124679,0.007958089,Adh4
ENSMUSG00000055301,244.534487,-0.875247461,0.258981297,-3.378050042,0.000730018,0.029639223,Adh7
ENSMUSG00000045730,53.18908906,1.456359214,0.30699495,4.722238035,2.33E-06,0.000283704,Adrb2
ENSMUSG00000109311,7.838938619,1.473155737,0.401225876,4.490652621,7.10E-06,0.000715269,AI314278
ENSMUSG00000021214,94.24467481,1.118345732,0.382336495,4.998677859,5.77E-07,8.70E-05,Akr1c18
ENSMUSG00000029368,1431434.836,-0.752199754,0.232339333,-3.236800496,0.001208779,0.042767054,Alb
ENSMUSG00000025007,40.31604294,1.257126676,0.363720129,3.458725926,0.000542737,0.02380985,Aldh18a1
ENSMUSG00000021238,9584.011135,-1.271169645,0.381756975,-3.320509196,0.000898534,0.034411423,Aldh6a1
ENSMUSG00000028766,200.0579601,1.429242269,0.258913924,5.516987007,3.45E-08,7.08E-06,Alpl
ENSMUSG00000032231,706.2052209,1.485927287,0.354511587,4.218559775,2.46E-05,0.002098763,Anxa2
ENSMUSG00000027712,3416.725362,1.507025477,0.269227873,5.603624557,2.10E-08,4.51E-06,Anxa5
ENSMUSG00000026542,2281.089377,1.073160741,0.306799653,3.503431677,0.000459304,0.020927152,Apcs
ENSMUSG00000032080,9803.137643,1.187186659,0.375555159,3.187973293,0.001432738,0.049276439,Apoa4
ENSMUSG00000028427,18.43533403,2.222329118,0.413410435,5.885614618,3.97E-09,1.08E-06,Aqp7
ENSMUSG00000037148,32.59530393,1.795493242,0.353687366,5.024235952,5.05E-07,7.96E-05,Arhgap10
ENSMUSG00000039831,964.1998446,-0.873229497,0.260958382,-3.344765877,0.000823521,0.032235597,Arhgap29
ENSMUSG00000033389,22.75057524,1.481495056,0.357896392,4.100257975,4.13E-05,0.00317816,Arhgap44
ENSMUSG00000025132,672.6441786,1.123726084,0.337688707,3.33763604,0.000844943,0.032892443,Arhgdia
ENSMUSG00000029032,66.47148506,1.284603569,0.339015357,3.786797062,0.000152602,0.009401588,Arhgef16
ENSMUSG00000045094,165.4457252,-1.648894429,0.241224316,-6.82502223,8.79E-12,4.61E-09,Arhgef37
ENSMUSG00000004562,139.3466717,0.8313364,0.200987583,4.133501778,3.57E-05,0.002828281,Arhgef40
ENSMUSG00000026426,83.19171394,1.137669447,0.335204554,3.396966768,0.000681372,0.028432024,Arl8a
ENSMUSG00000076441,17614.52291,-1.050699961,0.289841918,-3.622216218,0.00029209,0.015238695,Ass1
ENSMUSG00000038539,1679.159529,-0.895727439,0.254872719,-3.513035321,0.000443019,0.020315771,Atf5
ENSMUSG00000094796,7.121970624,1.554557209,0.407743483,4.057679012,4.96E-05,0.003619691,BC147527
ENSMUSG00000089929,13.40363036,1.508611132,0.4102191,3.682395068,0.000231053,0.012592387,Bcl2a1b
ENSMUSG00000072964,159.4315552,1.550459542,0.242085702,6.392637343,1.63E-10,5.37E-08,Bhlhb9
ENSMUSG00000040093,282.4377588,-1.220991386,0.362312313,-3.361352463,0.000775618,0.031046622,Bmf
ENSMUSG00000005338,77.88489461,-1.406703347,0.307090718,-4.56924238,4.89E-06,0.000525461,Cadm3
ENSMUSG00000057897,97.91976534,1.640646953,0.349354715,4.710507164,2.47E-06,0.000294237,Camk2b
ENSMUSG00000056737,77.71204891,1.80682245,0.361675305,5.009635548,5.45E-07,8.45E-05,Capg
ENSMUSG00000026270,116.049665,-1.536317382,0.218114622,-7.031992523,2.04E-12,1.25E-09,Capn10
