"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"ENSMUSG00000028180",758,99,1710,533,117,434,705,78,131,293,278,219,275,326,48,65,792,104,157,309
"ENSMUSG00000028182",47,41,112,112,30,66,47,39,73,78,47,54,45,36,60,49,32,23,50,39
"ENSMUSG00000028185",175,336,433,816,325,505,343,326,911,251,122,138,467,405,240,324,306,214,470,435
"ENSMUSG00000028184",804,776,1921,1312,544,596,835,1072,1205,797,786,602,1248,250,808,368,709,405,462,446
"ENSMUSG00000028187",318,325,829,898,246,540,281,445,556,388,261,332,521,434,382,318,279,348,404,466
"ENSMUSG00000028186",29611,33375,61911,65568,17398,39551,19296,23263,59175,25770,27497,48232,37745,31955,35107,23057,22715,30287,15965,20240
"ENSMUSG00000028189",227,312,698,433,175,398,359,356,256,257,209,248,472,170,211,371,347,359,218,244
"ENSMUSG00000028188",14,5,64,26,3,31,3,7,12,19,0,8,24,13,15,19,4,27,11,0
"ENSMUSG00000100726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100529",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000035429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020755",65,196,362,224,141,207,154,203,377,175,192,166,182,203,237,178,68,61,224,201
"ENSMUSG00000070076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020752",162,191,321,321,150,127,147,158,343,164,185,114,104,184,113,155,151,142,224,243
"ENSMUSG00000070073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020758",0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0
"ENSMUSG00000069833",243,123,402,469,135,149,281,230,296,256,596,175,236,142,128,276,241,184,249,167
"ENSMUSG00000069830",0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,4,0
"ENSMUSG00000028238",415,527,1051,229,123,146,660,673,391,316,492,785,353,218,230,1662,455,318,235,181
"ENSMUSG00000033862",63,97,200,135,36,89,96,73,144,121,100,105,100,60,81,95,55,78,104,75
"ENSMUSG00000033863",3181,2004,5066,5263,194,4364,1244,120,3182,1398,2468,981,5011,1202,984,1138,238,166,1078,1574
"ENSMUSG00000033860",30861,34656,92516,50384,21256,34703,26117,34862,53230,28003,34647,42212,39609,22122,24411,29691,26603,46042,22853,21422
"ENSMUSG00000069835",96,131,397,104,30,85,51,101,309,68,127,166,91,152,109,128,86,103,144,86
"ENSMUSG00000028233",248,207,544,358,148,277,283,211,310,265,186,154,313,200,283,276,245,194,106,265
"ENSMUSG00000028232",555,502,1222,963,340,604,438,445,797,658,460,402,735,598,589,640,463,425,246,424
"ENSMUSG00000028236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028234",458,581,1562,1106,463,740,619,990,1117,591,541,709,731,404,582,772,606,1225,1564,586
"ENSMUSG00000114974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114977",2,7,8,14,3,4,8,6,12,4,3,9,14,10,7,3,3,2,3,3
"ENSMUSG00000114970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044534",30,71,13,80,65,64,74,6,97,13,54,5,6,82,5,77,38,5,101,30
"ENSMUSG00000068122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068120",45,71,153,107,46,58,53,87,172,56,55,81,68,58,58,75,50,83,80,53
"ENSMUSG00000044538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027405",40,40,111,112,44,52,88,82,221,105,68,54,30,99,70,79,48,62,86,94
"ENSMUSG00000075164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075162",2,0,0,0,2,5,7,5,0,17,0,2,0,2,0,0,6,3,3,0
"ENSMUSG00000075169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108431",0,10,19,0,0,10,9,5,9,8,8,15,0,0,0,14,21,17,5,0
"ENSMUSG00000115353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044288",6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,0
"ENSMUSG00000083761",0,1,3,1,3,4,2,4,4,3,3,0,2,1,4,0,2,1,0,5
"ENSMUSG00000044285",1661,2265,6119,3115,1561,1801,2001,2815,4601,2101,2176,2559,3224,1731,1789,2823,1609,3162,3164,1558
