EntrezID,log2FC HFD,log2FC XN
Narf,-0.678815159,-0.597436123
Dlat,0.57889606,NA
Trim25,-0.923086701,NA
Cdh1,1.505370239,NA
Dbt,-0.431382846,NA
Pdgfb,1.155012141,NA
Gm2a,0.757832682,NA
Hk2,1.535622299,NA
Haao,NA,-0.888825024
Abhd15,-0.742557236,NA
Sult5a1,-1.184659347,NA
Dlg3,NA,-1.1078893
Nhp2,0.817488527,NA
Timp1,NA,2.079488739
Uhrf1,1.174910567,NA
Ube2c,1.345485446,NA
Tubb6,0.664999737,NA
Col1a1,2.008737415,2.262060218
Tubb5,0.743551986,NA
Akr1b3,0.730794609,NA
Coasy,0.83670759,NA
Smo,0.97200132,0.868381147
Capns1,0.678439742,NA
Siae,NA,0.672503584
Gria3,2.068831438,1.91236295
Sipa1l2,NA,1.105725688
Tmem25,NA,-1.09973578
Rab34,2.024816903,1.344234482
Ccne1,2.413892232,NA
Vrk3,0.568500585,NA
Rhoc,1.094799235,NA
Ciao3,-1.05998956,NA
Ipo4,0.609998628,NA
Bmp8b,2.046937875,NA
Ggct,1.257790593,NA
Epdr1,1.890141555,1.640635036
Top3a,-0.612922223,NA
Mcm2,1.850983347,1.052447065
Relb,1.057853683,NA
Pld3,0.672643898,NA
Cd79a,-1.172664277,NA
Rps6ka1,1.02533776,0.884669071
Insig2,0.747019942,NA
Kif20a,1.667794814,NA
Bax,0.923382997,NA
Gstm3,4.20865176,NA
Clcn5,0.678627713,NA
Dnajb11,NA,-0.77314193
Ctse,NA,4.544434355
Ndrg2,-1.065011722,-1.106059847
Arhgef40,NA,0.777861743
Myo9b,NA,0.92944446
Rab23,-0.868905764,NA
Ap1s1,0.612675812,NA
Cstb,0.808443385,NA
Man2b1,0.507030575,NA
Corin,1.694669513,2.347183558
Cadm3,NA,-1.288531058
Nid1,1.407515174,NA
Hmox1,0.865361066,1.067077016
Cyp2a5,1.20069729,1.115179943
Nr1i3,-0.660912113,NA
Cs,0.580828224,NA
Ctcf,NA,0.675922155
Apc,-1.065651941,NA
Reep5,0.782913998,NA
Tuft1,1.091681688,NA
Cdkal1,-0.568927154,NA
Itih3,-0.671215183,NA
Cdt1,0.975649613,NA
Sod2,-0.531048949,NA
Fhl2,0.857853278,NA
