"","log2FC.HFD","log2FC.XN"
"Sult5a1",-1.184659347,-1.414491465
"Col1a1",2.008737415,2.447177359
"Gria3",2.068831438,2.041252743
"Rab34",2.024816903,1.558671362
"Epdr1",1.890141555,1.842778919
"Rps6ka1",1.02533776,1.005521321
"Gstm3",4.20865176,2.500869767
"Ndrg2",-1.065011722,-1.169778752
"Cstb",0.808443385,1.122297332
"Corin",1.694669513,2.643571351
"Hmox1",0.865361066,1.095691813
"Cyp2a5",1.20069729,1.089608052
"Fbxw9",0.870864006,0.898094885
"Gprc5b",4.683800354,4.358922396
"Sardh",-0.892046278,-0.768268051
"Kdsr",1.142127407,0.804205355
"Tnfrsf22",1.234173614,1.269043133
"Mogat1",2.085248859,1.330228032
"Entpd2",1.085637001,0.991318506
"Lpl",1.021052782,1.056165363
"H2-M2",1.681876792,1.539344542
"Etnppl",-2.009917984,-2.106410286
"Slc6a8",1.807604173,1.484363252
"Cdk1",1.436601054,1.204418679
"Pde7b",-0.989637099,-0.922074158
"Rfx4",-1.763313772,-1.711178591
"Pbld2",-1.005775307,-1.030846511
"Shc2",2.66249984,1.666558027
"Osbp2",-1.254770415,-1.735609087
"Pctp",0.683023047,0.675088712
"Abcc3",0.813755686,0.651761043
"Usp43",1.956874507,0.903726687
"Sptlc2",0.826691521,0.854637108
"Ifi27l2b",1.725115424,1.514881145
"Akr1c18",1.020989431,1.118345732
"Aldh6a1",-1.592372306,-1.271169645
"Mrs2",-0.710343932,-0.603289812
"Gpld1",-1.922950575,-1.781370405
"Elovl7",2.560675062,1.913007591
"Tmem254b",-0.95331334,-1.397006786
"Tkt",0.781535133,1.025883929
"Micu2",0.724705274,0.765030095
"Tnfrsf10b",2.27229373,2.608013952
"Gtse1",1.181280342,1.935067393
"Ccdc80",0.816876633,0.824944906
"Nit2",-0.716068533,-0.714516282
"Cbr3",1.232922733,2.029980683
"Cdkn1a",2.977077897,1.525030825
"Pkmyt1",1.51776809,0.881132453
"Pla2g7",1.495170189,1.253881852
"Tedc2",-1.027886158,-1.333141397
"Pitpnm1",1.032808222,1.2617358
"Prdx3",0.732736934,0.587193992
"Aldh18a1",1.28389971,1.257126676
"Cd63",2.489907176,2.412170105
"Paox",-0.656360752,-0.929387998
"Col3a1",1.058204559,1.133685074
"Zap70",-1.188192966,-1.565364297
"Capn10",-1.597298511,-1.536317382
"Dars",-0.977676606,-0.999960441
"Steap3",-1.282265118,-1.428854408
"Pigr",-1.863256765,-1.145752345
"Arl8a",1.497630265,1.137669447
"Pik3c2b",-0.979721449,-0.9945394
"Srp9",-0.943292702,-1.694945346
"Tmem63a",-1.598428747,-1.237299465
"Slamf9",1.351338376,1.437399746
"Lamb3",-0.908343979,-1.130588649
"Serpinc1",-0.703021276,-0.534088281
"Nek6",0.727573007,0.691554712
"Lcn2",2.192319889,3.665889367
"Uap1l1",2.358213118,2.696855538
"Dpp7",0.99761541,1.040880909
"Abcb11",-1.364098419,-1.201735217
"Fam210b",-0.677733734,-0.956216023
"Car2",1.165065938,1.269330973
"Anxa5",1.492924379,1.507025477
"Ppm1l",-1.03398315,-0.911959538
"Ptgfrn",0.885671332,1.175543228
"S100a11",1.846208597,1.540731968
"Il6ra",-1.207408328,-1.271323694
"Olfm3",-1.077762898,-1.616968834
"Tlr2",1.494167123,1.328472176
"Tnc",2.079960302,1.16388467
"Aqp7",2.436909248,2.222329118
"Mfsd2a",-1.318280654,-1.73427622
"Alpl",1.650323297,1.429242269
"Stap1",-0.931538006,-0.995071331
"Spp1",1.447727723,1.440496289
"Alb",-0.460150838,-0.752199754
"Cxcl9",1.263635128,1.009185229
"Col1a2",1.526978266,1.440491694
"Tfpi2",-0.600551113,-0.892351377
"Aass",-0.570576359,-0.646816695
"Tmem176b",0.921046068,0.881280559
