"","log2FC.HFD","log2FC.XN"
"Haao",NA,-0.888825024
"Dlg3",NA,-1.1078893
"Timp1",NA,2.079488739
"Siae",NA,0.672503584
"Sipa1l2",NA,1.105725688
"Tmem25",NA,-1.09973578
"Dnajb11",NA,-0.77314193
"Ctse",NA,4.544434355
"Arhgef40",NA,0.777861743
"Myo9b",NA,0.92944446
"Cadm3",NA,-1.288531058
"Ctcf",NA,0.675922155
"Steap4",NA,0.687169595
"Pipox",NA,-0.701056855
"Cdc6",NA,1.224811863
"Wfdc2",NA,1.380271196
"Slc25a22",NA,-1.330702868
"Hars2",NA,-0.569529649
"Fabp7",NA,1.579385889
"Rhobtb1",NA,1.028834549
"Prkar1a",NA,-1.087730377
"Cdca7l",NA,2.088241424
"Slc17a1",NA,-0.917037162
"Zfp346",NA,-1.445405662
"Entpd4b",NA,-0.739300363
"Lrp10",NA,0.778236947
"Matn2",NA,1.76923344
"Robo1",NA,1.437912091
"Pigp",NA,0.919543426
"Fabp2",NA,-0.776654951
"Cxcl13",NA,-1.456591136
"Ivns1abp",NA,0.87740811
"Tmem176a",NA,0.952376623
"Rhoq",NA,0.727585266
"Abcg8",NA,0.930633898
"Spry4",NA,-1.398620859
"Nars",NA,-0.760364402
"Hmgxb3",NA,0.935527329
"Cyp2c23",NA,-0.940692598
"Inhbc",NA,-0.796408859
"Slc28a1",NA,1.033953015
"Pecr",NA,-0.829957015
"Ifi202b",NA,3.061710576
"Cybrd1",NA,-0.683040104
"Cyp2u1",NA,-1.480920915
"Pdgfc",NA,1.282477312
"Rragd",NA,1.678602914
"Orm3",NA,1.63345396
"Svep1",NA,1.289156331
"Car9",NA,1.178435945
"Ttc39a",NA,1.706825133
"Arhgef16",NA,1.051183806
"Ugdh",NA,1.165709638
"Sult1b1",NA,-0.738922813
"Sds",NA,-1.238417934
"Fam234b",NA,-0.539237248
"Clec2h",NA,-2.79527304
"Gas2",NA,-0.741197117
"Mesp2",NA,1.124662267
"Ipo5",NA,0.47279569
"Gas6",NA,0.959717153
"Gpm6a",NA,-1.182379113
"Tenm3",NA,0.603830632
"Rab27a",NA,1.303183971
"Tmem266",NA,-1.348810535
"Arhgap44",NA,1.272233989
"Gpc1",NA,-1.556754499
"Haus8",NA,1.191548917
"Icam1",NA,1.100280031
"Endod1",NA,0.839456026
"Wdhd1",NA,1.330447101
"Nr0b2",NA,-1.518515721
"Fermt2",NA,-0.611175982
"Adh4",NA,-1.108685072
"Dexi",NA,-1.03863454
"Pcp4l1",NA,1.260905325
"Gdf15",NA,1.167470846
"Car14",NA,-0.894617645
"Fam102a",NA,1.083710474
"Lyplal1",NA,0.656724055
"Arhgap29",NA,-0.750744518
"Rapgef5",NA,1.189698617
"Sgsm1",NA,-1.115117473
"Tmem183a",NA,-0.648107329
"Fam89a",NA,1.073373466
"Rnf227",NA,1.293648043
"Adrb2",NA,1.321653832
"Serinc4",NA,0.667700424
"Pla2g4f",NA,1.839211478
"Upk1b",NA,-0.924822368
"Suox",NA,-0.864361875
"Hbb-b1",NA,-0.908922056
"Hbb-bs",NA,-0.908922056
"Repin1",NA,-1.26449388
"Gas1",NA,-1.096862341
"Tprkb",NA,-1.016801002
"Sytl5",NA,0.679859212
"Ugt1a6a",NA,1.169621261
"Ntrk2",NA,1.98688814
"Adh7",NA,-0.939505631
"Cebpg",NA,1.677616415
"Lig1",NA,1.208161104
"Saa2",NA,2.580371361
"Camk2b",NA,1.570666318
"Plekhh1",NA,1.007018108
"Ces3b",NA,-0.986825814
"Jazf1",NA,1.80493119
"4430402I18Rik",NA,-1.309758441
"Hhip",NA,-1.499827867
"Wdr6",NA,0.831552173
"Slc22a7",NA,-1.807666045
"Hba-a2",NA,-0.868028432
"Hba-a1",NA,-0.882566871
"Prok1",NA,-2.421185214
"Sult2a6",NA,0.406111308
"Csf2rb2",NA,1.516318044
"Ifi204",NA,-1.289056845
"Ifi213",NA,-1.296622954
"Wdfy1",NA,1.302411959
"Hbb-bt",NA,-1.10548836
"Saa1",NA,1.765630992
"Sult2a4",NA,1.105213336
"Gas2l3",NA,1.839871882
"Klhdc7a",NA,-0.245648158
"Clec7a",NA,1.315967309
"Ctcflos",NA,-1.22958786
"Rbm12",NA,-0.268507046
"Ugt1a2",NA,1.385748337
"Catspere2",NA,3.000615971
"Lrch4",NA,-1.218244783
"BC147527",NA,1.134329008
"Entpd4",NA,-0.730300727
"1700028E10Rik",NA,-1.710290598
"Gm3704",NA,-1.710290598
"Gm17634",NA,-1.256751057
"Gm30122",NA,-1.022560536
"Gm36283",NA,1.712288188
"Gm3435",NA,-1.770809669
