"","log2FC.HFD","log2FC.XN"
"Narf",-0.678815159,NA
"Dlat",0.57889606,NA
"Trim25",-0.923086701,NA
"Cdh1",1.505370239,NA
"Dbt",-0.431382846,NA
"Pdgfb",1.155012141,NA
"Gm2a",0.757832682,NA
"Hk2",1.535622299,NA
"Abhd15",-0.742557236,NA
"Nhp2",0.817488527,NA
"Uhrf1",1.174910567,NA
"Ube2c",1.345485446,NA
"Tubb6",0.664999737,NA
"Tubb5",0.743551986,NA
"Akr1b3",0.730794609,NA
"Coasy",0.83670759,NA
"Smo",0.97200132,NA
"Capns1",0.678439742,NA
"Ccne1",2.413892232,NA
"Vrk3",0.568500585,NA
"Rhoc",1.094799235,NA
"Narfl",-1.05998956,NA
"Ipo4",0.609998628,NA
"Bmp8b",2.046937875,NA
"Ggct",1.257790593,NA
"Top3a",-0.612922223,NA
"Mcm2",1.850983347,NA
"Relb",1.057853683,NA
"Pld3",0.672643898,NA
"Cd79a",-1.172664277,NA
"Insig2",0.747019942,NA
"Kif20a",1.667794814,NA
"Bax",0.923382997,NA
"Clcn5",0.678627713,NA
"Rab23",-0.868905764,NA
"Ap1s1",0.612675812,NA
"Man2b1",0.507030575,NA
"Nid1",1.407515174,NA
"Nr1i3",-0.660912113,NA
"Cs",0.580828224,NA
"Apc",-1.065651941,NA
"Reep5",0.782913998,NA
"Tuft1",1.091681688,NA
"Cdkal1",-0.568927154,NA
"Itih3",-0.671215183,NA
"Cdt1",0.975649613,NA
"Sod2",-0.531048949,NA
"Fhl2",0.857853278,NA
"Nfib",-0.816323869,NA
"Rarres2",-0.875532581,NA
"Fxyd5",1.201117623,NA
"Apol7a",-1.477602491,NA
"Kdelr3",1.178482235,NA
"Dhdh",-0.302989149,NA
"Pgam1",0.484991078,NA
"Crybg2",-1.479311533,NA
"Mlkl",1.346932978,NA
"Pea15a",0.785483789,NA
"Npdc1",1.227751329,NA
"Sash1",-0.476155454,NA
"Gadd45b",0.853573973,NA
"Atp6v0e",0.712390001,NA
"Prune1",0.49038315,NA
"Cd5l",0.860318016,NA
"Amdhd1",-0.749769213,NA
"Il17rb",0.723668476,NA
"Stard13",-0.868926152,NA
"Syt14",2.732770175,NA
"Sertad4",-0.902079037,NA
"Mapkapk2",0.422574213,NA
"Abr",1.089128471,NA
"Pgs1",0.795618984,NA
"Dbndd2",0.778905561,NA
"Cyb5r3",0.77607953,NA
"Mafk",0.786554586,NA
"Gid4",-0.445380203,NA
"Myo1b",-0.794488739,NA
"Kdm6b",-0.759377597,NA
"Sparc",0.946798723,NA
"Tnfsfm13",0.887684279,NA
"Mpdu1",0.626823135,NA
"Acsl1",-0.844544321,NA
"Map2k3",-1.126916266,NA
"Ywhah",0.926256,NA
"Grb7",-0.676521201,NA
"Gyg",0.953067898,NA
"Pdk4",1.196226301,NA
"Slc16a10",-0.474595983,NA
"Perp",-0.49153883,NA
"Dcbld1",0.677894076,NA
"Lin7a",-1.361458173,NA
"Poc1b",-0.60652261,NA
"Nedd1",-0.456030793,NA
"Hal",-1.104720521,NA
"Fgd6",-0.523776643,NA
"Socs2",-1.310410127,NA
"Tcp11l2",-0.578685781,NA
"Cry1",-0.826106691,NA
"Igf1",-0.936366491,NA
"Eif4ebp2",-0.588484324,NA
"Unc5b",0.857136336,NA
"Plek",1.289686898,NA
"Phlda1",-0.885679054,NA
"Col6a2",0.907798594,NA
"Nfyb",-0.482431372,NA
"Rhbdf1",1.057273567,NA
"Chac2",-0.715881057,NA
"Ccng1",0.563919271,NA
"Hmmr",1.297232235,NA
"Btg2",1.104838116,NA
"Igfbp3",0.945196513,NA
"Smtn",0.866397398,NA
"Drg1",0.399451757,NA
"Dynll2",0.890814492,NA
"Id2",1.306019708,NA
"Rasl10b",2.381574605,NA
"Jpt1",0.942242238,NA
"Prpf8",-0.467086728,NA
"Nme2",1.5013184,NA
"Pfas",-0.574377214,NA
"Top2a",1.360657744,NA
"Adam11",1.557847989,NA
"Pnn",-0.6783309,NA
"Akap5",-1.367347632,NA
"Rtn1",0.911085068,NA
"Vrk1",0.692495929,NA
"Vti1b",0.52008164,NA
"Erh",0.68080385,NA
"Smoc1",1.617003126,NA
"Unc79",-1.22621795,NA
"Ppp4r4",-0.756376793,NA
"Entpd5",0.734873861,NA
"Fos",1.190934061,NA
"Erg28",-0.546002172,NA
"Snrnp48",-0.540327023,NA
"Sema4d",1.649791992,NA
"Sptlc1",0.483072828,NA
"Lman2",-0.491295439,NA
"Pdlim7",1.148817452,NA
"Ocln",-0.756489411,NA
"Plk2",0.638876934,NA
"Ptprg",-0.685873911,NA
"Fst",1.219147767,NA
"Oxsm",-1.495342806,NA
"Anxa7",0.774978275,NA
"Samd4",1.324508284,NA
"Oxnad1",-0.687123551,NA
"Diaph3",1.596808585,NA
"Pbk",1.287786857,NA
"Esco2",1.517039176,NA
"Bnip3l",-0.972577012,NA
"Sorbs3",-0.841870528,NA
"Fbxl3",-0.546994931,NA
"Dct",-1.521528244,NA
"Dnajc3",-0.675780204,NA
"6030458C11Rik",-1.166410971,NA
"Ank",-0.80484898,NA
"Dpys",-0.935709303,NA
"Ebag9",-0.92109073,NA
"Myc",1.31113992,NA
"Tef",-0.941629918,NA
"Fam83f",1.170451935,NA
"Deptor",-0.457545658,NA
"Parvg",1.070324672,NA
"C1qtnf6",1.143330245,NA
"Slc38a2",-0.523158145,NA
"Srebf2",-0.599463198,NA
"Slc38a4",-0.624830795,NA
"Aco2",0.369460989,NA
"Litaf",0.654879089,NA
"Gm9861",0.654879089,NA
"Nubp1",0.794525724,NA
"Ciita",1.323280769,NA
"Il1rap",-0.801817797,NA
"Adck5",-0.889897532,NA
"Dgat1",0.585883526,NA
"Grina",0.61172971,NA
"Nectin3",-0.895712941,NA
"Mcm4",0.850250156,NA
"Mpv17l",-0.73622533,NA
"Slc7a4",1.239402116,NA
"Nr1i2",-0.543957239,NA
"Itgb5",0.518550397,NA
"Abcc5",1.251048031,NA
"Tmem41a",1.267952849,NA
"Btg3",1.145197955,NA
"Arl13b",-0.707859466,NA
"Pros1",0.649446293,NA
"Setd4",-1.06232366,NA
"Tuba1b",0.385883584,NA
"Scn8a",2.047223984,NA
"Krt18",1.033386186,NA
"Rttn",-0.722777765,NA
"Serinc2",0.841055455,NA
"Igf2r",0.540902366,NA
"Paqr4",1.026247964,NA
"Ubr2",-0.519197712,NA
"Trem2",1.373716835,NA
"Abcg1",0.885492109,NA
"Prkd3",-0.502083638,NA
"Pdpk1",-0.443519544,NA
"Nudt12",-0.844595961,NA
"Pkdcc",0.950092777,NA
"Zfp871",-0.768769014,NA
"Tapbp",0.836062544,NA
"Stard4",-0.836514431,NA
"Ap3s1",0.45757587,NA
"Cep192",1.135009255,NA
"Cd74",1.106484577,NA
"Ms4a7",1.407206085,NA
"Lpxn",0.912995181,NA
"Slc15a3",0.966683954,NA
"Aldh1a7",0.630747388,NA
"Kif20b",1.201284308,NA
"Frmd8",0.65810516,NA
"Vegfb",0.917906791,NA
"Acsl5",0.643924012,NA
"Hells",1.701857375,NA
"Cyp2c55",4.652529859,NA
"Pik3ap1",0.523602071,NA
"Fundc1",0.597473102,NA
"Gk",-1.017355118,NA
"Maged1",0.688302661,NA
"Fasn",0.959900336,NA
"Slc16a3",1.250271043,NA
"Csnk1d",0.709444738,NA
"Hexa",0.596112834,NA
"Fyco1",-1.113749701,NA
"Maged2",0.95750672,NA
"Dgka",-0.875378234,NA
"Pias2",-0.847314639,NA
"Cdhr5",-0.951116128,NA
"Taldo1",1.039266196,NA
"Gusb",0.802617283,NA
"Dock9",-0.571889375,NA
"Tk1",-0.786440393,NA
