"","gene_id","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","EntrezID","Ensembl"
"ENSMUSG00000028180","ENSMUSG00000028180",758,99,1710,533,117,434,705,78,131,293,219,275,326,48,65,792,104,157,309,"Zranb2","ENSMUSG00000028180"
"ENSMUSG00000028182","ENSMUSG00000028182",47,41,112,112,30,66,47,39,73,78,54,45,36,60,49,32,23,50,39,"Lrriq3","ENSMUSG00000028182"
"ENSMUSG00000028185","ENSMUSG00000028185",175,336,433,816,325,505,343,326,911,251,138,467,405,240,324,306,214,470,435,"Dnase2b","ENSMUSG00000028185"
"ENSMUSG00000028184","ENSMUSG00000028184",804,776,1921,1312,544,596,835,1072,1205,797,602,1248,250,808,368,709,405,462,446,"Adgrl2","ENSMUSG00000028184"
"ENSMUSG00000028187","ENSMUSG00000028187",318,325,829,898,246,540,281,445,556,388,332,521,434,382,318,279,348,404,466,"Rpf1","ENSMUSG00000028187"
"ENSMUSG00000028186","ENSMUSG00000028186",29611,33375,61911,65568,17398,39551,19296,23263,59175,25770,48232,37745,31955,35107,23057,22715,30287,15965,20240,"Uox","ENSMUSG00000028186"
"ENSMUSG00000028189","ENSMUSG00000028189",227,312,698,433,175,398,359,356,256,257,248,472,170,211,371,347,359,218,244,"Ctbs","ENSMUSG00000028189"
"ENSMUSG00000028188","ENSMUSG00000028188",14,5,64,26,3,31,3,7,12,19,8,24,13,15,19,4,27,11,0,"Spata1","ENSMUSG00000028188"
"ENSMUSG00000035429","ENSMUSG00000035429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ptprh","ENSMUSG00000035429"
"ENSMUSG00000035427","ENSMUSG00000035427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mageb4","ENSMUSG00000035427"
"ENSMUSG00000035420","ENSMUSG00000035420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fam170a","ENSMUSG00000035420"
"ENSMUSG00000070074","ENSMUSG00000070074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mir484","ENSMUSG00000070074"
"ENSMUSG00000020755","ENSMUSG00000020755",65,196,362,224,141,207,154,203,377,175,166,182,203,237,178,68,61,224,201,"Sap30bp","ENSMUSG00000020755"
